genus,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage
Pseudospiropes,litter_saprotroph,,
Psilachnum,litter_saprotroph,,
Psilophana,litter_saprotroph,,
Pteromyces,litter_saprotroph,,
Pubigera,litter_saprotroph,,
Radotinea,wood_saprotroph,,
Rhizothyrium,litter_saprotroph,,
Rodwayella,litter_saprotroph,,
Rommelaarsia,litter_saprotroph,,
Roseodiscus,plant_pathogen,,
Sageria,unspecified_saprotroph,,
Sclerocrana,litter_saprotroph,,
Scutulopsis,unspecified_symbiotroph,,
Soosiella,soil_saprotroph,,
Sorokina,wood_saprotroph,,
Sorokinella,litter_saprotroph,,
Spirosphaera,litter_saprotroph,,
Stamnaria,litter_saprotroph,,
Stilbopeziza,wood_saprotroph,,
Strossmayeria,wood_saprotroph,,
Zugazaea,wood_saprotroph,,
Tetracladium,litter_saprotroph,,
Thedgonia,plant_pathogen,,
Themisia,wood_saprotroph,,
Tovariella,litter_saprotroph,,
Trichohelotium,unspecified_saprotroph,,
Triposporium,foliar_endophyte,,
Urceolella,litter_saprotroph,,
Waltonia,wood_saprotroph,,
Woodiella,litter_saprotroph,,
Xeromedulla,litter_saprotroph,,
Asperopilum,litter_saprotroph,,
Crucellisporiopsis,plant_pathogen,,
Fuscolachnum,litter_saprotroph,,
Hyalopeziza,litter_saprotroph,,
Hyphodiscus,mycoparasite,,
Venturiocistella,litter_saprotroph,,
Dasyscyphus,litter_saprotroph,,
Lachnellula,wood_saprotroph,,
Leptodontidium,litter_saprotroph,,
Barrenia,root_endophyte,,
Cheirospora,wood_saprotroph,,
Corynesporopsis,unspecified_saprotroph,,
Fuscosclera,wood_saprotroph,,
Phaeomollisia,foliar_endophyte,,
Exochalara,litter_saprotroph,,
Lareunionomyces,litter_saprotroph,,
Neolauriomyces,litter_saprotroph,,
Allophylaria,litter_saprotroph,,
Antinoa,litter_saprotroph,,
Austropezia,litter_saprotroph,,
Calycellina,litter_saprotroph,,
Calycina,wood_saprotroph,,
Chalara,litter_saprotroph,,
Hyalodendriella,wood_saprotroph,,
Micropeziza,litter_saprotroph,,
Mollisina,litter_saprotroph,,
Mollisinopsis,litter_saprotroph,,
Moserella,unspecified_symbiotroph,,
Phaeoscypha,litter_saprotroph,,
Poculinia,litter_saprotroph,,
Scleropezicula,wood_saprotroph,,
Zymochalara,litter_saprotroph,,
Velutaria,wood_saprotroph,,
Xiambola,litter_saprotroph,,
Pleuroascus,dung_saprotroph,,
Volucrispora,litter_saprotroph,,
Porodiplodia,litter_saprotroph,,
Bicornispora,litter_saprotroph,,
Dencoeliopsis,unspecified_saprotroph,,
Lambertella,litter_saprotroph,,
Lanzia,litter_saprotroph,,
Moellerodiscus,litter_saprotroph,,
Neometulocladosporiella,plant_pathogen,,
Piceomphale,litter_saprotroph,,
Poculum,litter_saprotroph,,
Rutstroemia,litter_saprotroph,,
Amerosporium,plant_pathogen,,
Amphobotrys,plant_pathogen,,
Banksiamyces,litter_saprotroph,,
Botrytis,plant_pathogen,,
Ciboria,plant_pathogen,,
Ciborinia,plant_pathogen,,
Ciboriopsis,litter_saprotroph,,
Clarireedia,plant_pathogen,,
Coprotinia,dung_saprotroph,,
Coremiella,litter_saprotroph,,
Cristulariella,plant_pathogen,,
Cudoniopsis,plant_pathogen,,
Dumontinia,plant_pathogen,,
Elliottinia,plant_pathogen,,
Grovesinia,plant_pathogen,,
Haradamyces,plant_pathogen,,
Hinomyces,plant_pathogen,,
Kohninia,litter_saprotroph,,
Martininia,litter_saprotroph,,
Monilia,plant_pathogen,,
Monilinia,plant_pathogen,,
Myrioconium,plant_pathogen,,
Myriosclerotinia,plant_pathogen,,
Ovulinia,plant_pathogen,,
Phaeosclerotinia,plant_pathogen,,
Pseudociboria,litter_saprotroph,,
Pycnopeziza,litter_saprotroph,,
Redheadia,plant_pathogen,,
Sclerencoelia,wood_saprotroph,,
Scleromitrula,plant_pathogen,,
Sclerotinia,plant_pathogen,,
Seaverinia,plant_pathogen,,
Septotinia,plant_pathogen,,
Streptobotrys,plant_pathogen,,
Streptotinia,plant_pathogen,,
Stromatinia,plant_pathogen,,
Torrendiella,litter_saprotroph,,
Valdensia,plant_pathogen,,
Valdensinia,plant_pathogen,,
Verrucobotrys,plant_pathogen,,
Geniculospora,litter_saprotroph,,
Graddonia,wood_saprotroph,,
Halenospora,wood_saprotroph,,
Mycofalcella,litter_saprotroph,,
Tricladium,litter_saprotroph,,
Vandijckella,soil_saprotroph,,
Satchmopsis,litter_saprotroph,,
Miniancora,litter_saprotroph,,
Flagellospora,litter_saprotroph,,
Epithamnolia,lichen_parasite,,
Calyptrozyma,unspecified_saprotroph,,
Culicidospora,litter_saprotroph,,
Deltopyxis,wood_saprotroph,,
Phaeopyxis,lichen_parasite,,
Trullula,wood_saprotroph,,
Micraspis,litter_saprotroph,,
Calloriopsis,mycoparasite,,
Eleutheromycella,mycoparasite,,
Eleutheromyces,mycoparasite,,
Gelatinipulvinella,mycoparasite,,
Geltingia,lichen_parasite,,
Helicogonium,mycoparasite,,
Lophophacidium,plant_pathogen,,
Cudonia,litter_saprotroph,,
Spathularia,litter_saprotroph,,
Pseudographis,wood_saprotroph,,
Apiodiscus,litter_saprotroph,,
Bonanseja,litter_saprotroph,,
Didymascus,plant_pathogen,,
Haplophyse,plant_pathogen,,
Irydyonia,plant_pathogen,,
Laquearia,litter_saprotroph,,
Mycosymbioces,mycoparasite,,
Nymanomyces,plant_pathogen,,
Pseudotrochila,plant_pathogen,,
Huangshania,wood_saprotroph,,
Triblidium,wood_saprotroph,,
Bettsia,animal_parasite,,
Geomyces,soil_saprotroph,,
Gymnostellatospora,soil_saprotroph,,
Pseudeurotium,dung_saprotroph,,
Pseudogymnoascus,soil_saprotroph,,
Gorgomyces,litter_saprotroph,,
Patinella,wood_saprotroph,,
Saksenamyces,plant_pathogen,,
Pseudoneoconiothyrium,wood_saprotroph,,
Fasciatispora,litter_saprotroph,,
Polylobatispora,litter_saprotroph,,
Phaeodactylium,plant_pathogen,,
Echidnodella,epiphyte,,
Halbania,epiphyte,,
Meliolaster,epiphyte,,
Parasterinopsis,epiphyte,,
Prillieuxina,epiphyte,,
Trichasterina,epiphyte,,
Uleothyrium,epiphyte,,
Vishnumyces,epiphyte,,
Asterotexis,plant_pathogen,,
Hemigrapha,lichen_parasite,,
Lembosia,epiphyte,,
Marquesius,litter_saprotroph,,
Hawksworthiana,wood_saprotroph,,
Argopericonia,epiphyte,,
Arcuadendron,animal_parasite,,
Geoglossum,soil_saprotroph,,
Glutinoglossum,soil_saprotroph,,
Hemileucoglossum,soil_saprotroph,,
Leucoglossum,soil_saprotroph,,
Maasoglossum,soil_saprotroph,,
Sabuloglossum,soil_saprotroph,,
Sarcoleotia,soil_saprotroph,,
Trichoglossum,soil_saprotroph,,
Nothomitra,soil_saprotroph,,
Chromelosporium,soil_saprotroph,,
Bionectria,wood_saprotroph,,
Gibberella,plant_pathogen,,
Slopeiomyces,root_endophyte,,
Neopyricularia,plant_pathogen,,
Triadelphia,litter_saprotroph,,
Mirandina,litter_saprotroph,,
Archaeorhizomyces,soil_saprotroph,,
Andreiomyces,lichenized,,
Amazonomyces,lichenized,,
Arthonia,lichenized,,
Arthothelium,lichenized,,
Briancoppinsia,lichen_parasite,,
Coniangium,lichenized,,
Coniarthonia,lichenized,,
Coniocarpon,lichenized,,
Crypthonia,lichenized,,
