OTU_ID,Bal1,Bal5,Bal6,Bal8,CC10,CC7,CC8,Can2,DY1,Bal2,Bal3,Bal4,Bal7,CC2,DY3,Bal11,Bal9,CC1,Can1,DP2,DP3,DP4,DP6,DP7,DY2,DY5,DY4,CC3,CC9,DY6,Bal10,DP5,CC11,CC4,DP1,DY7,Can5,Can6,Can3,Can4
7fac048c0775e1afab70ae254206608d4ef760f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46033,0,0,0,0,0,0,0,0,0,0,0,0,0
609d645edba1eed96a729b3e966f70c20d5b2f19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0cd8deaa44334d7ff3c1fe0bb092e8a136c02148,0,0,0,0,0,0,0,16759,459,0,1059,0,5346,0,0,0,0,0,336,489,2246,0,116,1345,8175,0,1322,0,0,0,0,2783,0,984,0,0,2418,0,0,0
dfb0b746f211f5b82af06d53925cc63259180eba,0,0,0,0,0,0,0,4647,0,1181,2358,0,0,0,0,0,0,0,353,68,0,144,0,0,0,34169,373,0,0,0,0,0,0,0,0,0,0,0,0,0
4438b9df922a57b164e8c5e04d1024704f1de8e3,817,2803,1559,520,2294,907,985,1417,2029,1691,7186,1929,185,7310,157,742,511,0,306,0,250,1065,0,0,979,241,1485,285,343,1045,531,270,293,334,119,476,115,582,437,108
b43fb6d645e3b0396242f88d622e4b7b43c464dd,0,0,0,0,0,0,0,0,0,0,0,40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222,0,0,0,0,0,0
2a4528f09328391c3cc3ed16743ee531d7abf52b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,0,0,0,0,0,39545,0,0,0,0,0,0
477d9b4df8658eaa80057a2850651b08a0d09a49,0,0,0,817,0,0,0,0,1572,0,0,0,0,563,0,0,3120,32484,0,0,0,0,0,0,131,417,0,0,0,847,0,0,0,0,0,0,0,0,0,0
4f78c2818258106555f3571f94544b0583bcbce2,801,299,0,177,0,597,0,176,92,0,1002,0,0,0,0,496,3000,0,163,0,0,28179,0,0,0,0,2018,0,0,625,0,0,192,0,0,0,0,122,119,300
3d57d022cd5f69dae96ff6a918c59f8dc156173a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37761,0,0,0,0,0
d148609813828fa5d855106e6b355a33080886e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31771,0,0,0,0,5646,142,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d86f5006d790056b70dd0c3fac43938d76b88a9c,36904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d1583b4bb343f61b6a22f047368c733909754c7,0,0,0,0,0,0,0,0,36835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578fa4be6c074829a017d3950bcb917ec0887e49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35062,0,0,0,0,0
cace8345552b65886bbd73d60cd6bca691308ddc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33982,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0
4d9c01f7467a9cb2594c8d44e1ffc0ecf5db3c24,727,469,1249,3302,602,5732,1499,219,851,585,315,170,231,0,0,1208,4247,0,125,0,0,0,0,0,403,591,4337,0,714,1337,348,0,2725,0,0,0,325,359,0,0
