OTU_ID,abundance,phylum,class,order,family,genus,species,evalue,coverage,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage,similarity
609d645edba1eed96a729b3e966f70c20d5b2f19,44221,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora_sp,6.69e-112,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,100
0cd8deaa44334d7ff3c1fe0bb092e8a136c02148,43840,Ascomycota,Dothideomycetes,Gloniales,Gloniaceae,Cenococcum,Cenococcum_sp,2.03e-65,99.31972789115646,ectomycorrhizal,short-distance_coarse,/cenococcum,97.26
dfb0b746f211f5b82af06d53925cc63259180eba,43509,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Laccaria_sp,3.39e-96,99.51923076923077,ectomycorrhizal,short-distance_delicate,/laccaria,98.068
b43fb6d645e3b0396242f88d622e4b7b43c464dd,41347,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_kapila,7.97e-91,100,ectomycorrhizal,short-distance_delicate,/inocybe,100
3d57d022cd5f69dae96ff6a918c59f8dc156173a,37768,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora_sp,3.96e-102,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,96.847
d148609813828fa5d855106e6b355a33080886e3,37726,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp,2.76e-97,95.65217391304348,ectomycorrhizal,short-distance_delicate,/sebacina,99.495
2d1583b4bb343f61b6a22f047368c733909754c7,36875,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,5.56e-80,100,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,96.629
a968e85fd282cbfbabfc4eadd6f060da631ac0f4,29854,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Clavulina,Clavulina_sp,2.73e-117,100,ectomycorrhizal,contact,/clavulina,98.76
562e3dd68b89cde30bae2e78211cde2454ea6170,26202,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,2.17e-105,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,98.182
3fb40dfd95262d976ecb180e7b7f3cf8c1099dda,25236,Ascomycota,Dothideomycetes,Gloniales,Gloniaceae,Cenococcum,Cenococcum_sp,9.28e-70,100,ectomycorrhizal,short-distance_coarse,/cenococcum,99.32
7376580a40d847d164d970b840f3fe4f6cb6661e,24632,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp,1.45e-94,94.52054794520548,ectomycorrhizal,short-distance_delicate,/sebacina,97.101
24a7564f31f323572ab2f99d2a34c1a88c3e7c03,20232,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita_punctata,1.3e-74,100,ectomycorrhizal,contact,/amanita,98.734
a931ad13e23838c4ba650e9396352c4df649850f,19257,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,5.42e-94,99.54545454545455,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,94.977
7a3f476a3db6c42374745d40ed5e634cc171102b,13525,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,4.99e-88,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,93.151
daf41f716c53029c4ad08ff31bcee590094bb03d,13500,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Chondrogaster,Chondrogaster_sp,3.38e-109,100,ectomycorrhizal,mat,/hysterangium,100
dcfa37b7a99eb6b7ff4c2514daa52ca9662521a3,12601,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,1.7e-86,100,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,99.438
8ed1fbd9c8a9aca4dd6b533e871a9e7d408c9cdc,11828,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_sp,1.23e-128,100,ectomycorrhizal,medium-distance_smooth,/russula-lactarius,97.426
fa5bf7d6e045cacbd1a4076f7eed74ccfe874913,11735,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,3.92e-83,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,91.743
